CUSP_ID,LAT,LONG,NZMGE,NZMGN,ORI_YEAR,ORI_MONTH,ORI_DAY,ORI_HOUR,ORI_MINUTE,ORI_SECOND,MAG,DEPTH,
3366146,-43.52479,172.16731,2442704,5742369,2010,9,3,16,35,41.89426,7.1,10.4573,
3366155,-43.60896,172.22278,2447275,5733061,2010,9,3,16,56,10.8185,5.577,9.1174,
3366157,-43.64182,172.26221,2450491,5729439,2010,9,3,17,6,31.03522,4.724,11.9562,
3366167,-43.5925,172.09964,2437315,5734790,2010,9,3,17,26,4.65181,4.787,9.2643,
3366174,-43.53197,172.14365,2440800,5741552,2010,9,3,17,38,11.54524,4.466,11.3272,
3366177,-43.60087,172.19427,2444965,5733938,2010,9,3,17,46,21.15995,4.266,16.8423,
3366182,-43.50863,172.15845,2441970,5744157,2010,9,3,17,55,4.29362,4.605,5.4698,
3366184,-43.59201,172.34402,2457048,5735027,2010,9,3,18,1,11.80452,4.462,8.179,
3366187,-43.56178,172.52846,2471924,5738486,2010,9,3,18,4,6.9835,4.081,22.4183,
3366188,-43.57781,172.43246,2464179,5736657,2010,9,3,18,7,12.93205,3.952,15.6284,
3366191,-43.59905,172.1927,2444836,5734139,2010,9,3,18,15,25.75161,4.137,5,
3366192,-43.52681,171.9465,2424857,5741943,2010,9,3,18,17,59.17744,4.315,15.9729,
3375021,-43.6612,172.41833,2463102,5727384,2010,9,3,18,18,3.71576,4.495,5,
3366196,-43.46814,172.17479,2443247,5748668,2010,9,3,18,24,5.11876,4.028,5.8776,
3366198,-43.61958,172.36073,2458421,5731975,2010,9,3,18,33,15.74207,4.19,8.1082,
3366206,-43.60338,172.38542,2460401,5733789,2010,9,3,18,54,38.23641,3.929,5,
3366209,-43.58064,172.37746,2459739,5736311,2010,9,3,18,54,38.55242,3.862,5,
3366212,-43.59074,172.12306,2439204,5735005,2010,9,3,19,4,21.33568,4.321,5,
3366213,-43.6043,172.20898,2446156,5733568,2010,9,3,19,7,1.63309,4.805,15.7838,
3366215,-43.63169,172.44997,2465633,5730680,2010,9,3,19,13,21.1849,4.575,8.2136,
